playlist_id,num_tracks,description,sentiment,name
00Htst1iH4rnApb17uuYL5,48,hyperfocus time,0.0,fast paced study jazz
00tL08idwjfy16TtcEOP3m,61,,0.0,Laufey 🫶🏻 studying
00vJgCqGYCVGjC3NJO7Jn0,117,,0.0,"study, chill, and vibe r&b"
02xRzVFrf4DVEwZzMoIen2,57,,0.0,Study phonk/lofi 
05M68f43fyAAQDpLbezwAg,89,study it&#x27;s good ! ; twt: xoxomillie_,0.4926,taylor swift study playlist !
05UUj55P24ab5W711pNSdk,120,for the countless hours of studying...:( soft pop and songs to sing too,0.0,Study Playlist
05V7q1tiqGrcJ8qKxl7YFq,276,"Jazz, Classical, Lo-fi, Movie Scores, ... ?? - anything uplifting and instrumental to study to",0.0,Happy Instrumental Study
05awKsd7CqX7tcGvdXJylc,47,,0.0,STUDY RAP BEATS
07UHFyiPyJBz3AN4tqbnba,452,"Improve your study sessions with binaural beats proven to enhance focus, concentration, productivity and improve memory. ",0.7003,Study Music
0AAOfVgnxIawUpX0qs8geJ,72,,0.0,Game of Thrones Study Music
0Bcj27aw78d1U9hLt4WK4u,165,,0.0,studying in a coffee shop on a rainy day 
0BdFhjbpUuQmESmEJDAFgc,110,"Ocean Thunderstorm Sounds (10 Hours) Waves, rain and thunder sounds for sleeping problems, insomnia, stress relief, chill out, concentration and study. Listen to the ocean waves crashing, heavy rain, rolling thunder and lightning strikes as you fall asleep at night and sleep better.",-0.25,"Ocean Thunderstorm Sounds (10 Hours) Waves, Rain & Thunder Sounds for Sleeping, Insomnia, and Study"
0C2mC6M18MreFT7y0aw93j,39,,0.0,drake study vibez
0CFuMybe6s77w6QQrJjW7d,300,"Chillhop for studying / relaxing / gaming / working. Instrumental lofi hip hop beats from around the globe. Check out our  24/7 YouTube livestream <a href=""https://youtu.be/5yx6BWlEVcY"">here</a> or listen on other platforms <a href=""https://chillhop.lnk.to/listenWE"">here</a>.",0.4939,Chillhop Radio 🐾 jazz/lofi hip hop beats to study/relax to | Study Music | Chillhop Music 2023
0D8WrwfKgtKcJYzRttgtAa,50,,0.0,study jazz
0DuJpUcHov9nNbfpDzdAK7,113,trying to romanticize homework &#x2F;&#x2F; mostly piano pieces ,0.4215,soft classical for studying 
0FUp8vsPssF3NXEclMp5gC,254,,0.0,🎧🧸🤎college studying 🤎💼 ☕️
0GHUVMqRU66LPllhJPKGtA,31,,0.0,calm study rap
0GPkHyYknqCMItCfOzuAnm,108,"proust, sophistication, pomegranate tea • the classical set, vol. 2",0.0,ravenclaw studyroom
0Hkt9LLa9qit1quA17hOX3,259,trap beats for studying,-0.3182,study trap beats
0IQJSDvckFURVWF6SSKnkp,836,"Tap on 🤍 to save it to your library and play to chill, study, nap, or sleep. These chill anime covers will help you fall asleep or relax.",0.8807,Anime lofi for sleeping/relaxing/studying
0ImTNCVUppWafiInVSlMsL,73,,0.0,Bible Study Music✝️
0JeJw298Oj8ocImI19UWbg,56,Listening to these minecraft soundtracks whilst studing works perfect!,0.6114,Minecraft study music
0JpkcEtZWGrfuDYOzGI5dr,156,"late night study lo-fi hip hop music. Work, focus, reading, coding, relaxing, productive study 📚 IG: <a href=""https://www.instagram.com/bombierecords/"">@bombierecords</a>",0.4939,late night study lofi
0JrOLSksjcn4iI42LTnC3x,164,,0.0,classical taylor songs for studying 
0Jwyevnt3x9JnuGnTmantn,56,,0.0,study playlist
0L9rTxFjnZDjhEqc8TRr15,315,"The playlist mostly contains Alpha waves. However it has a few Gamma, theta and beta waves as well.",0.2732,Study music Alpha waves
0LIzglASey2zgoOzGNvUwa,1082,,0.0,Instrumental for Studying
0LRFos3cYe1c3s5vErcwzF,284,"Artwork by @maria.created Music to bible study to / alternative, contemporary soaking music from Jesus following producers to help you connect with God. Submissions @mrstephenbradley lofi / christian / worship / instrumental / chill / coffee / lo-fi / beats / hiphop /chh / cafe / work / Cristiano",0.7184,"Lofi Chill Instrumental Christian Worship Beats To Bible Study, Soak and Work To"
0MjjGoktVwQ9npk9almPWn,28,lofi to get you in the holiday spirit!,0.5707,"holiday lofi 🎄 christmas lofi, festive music for focusing, studying and relaxing"
0NNOHJeoYcm1TCmjJnxafY,115,"lofi study - focus music - lofi focus music - homework music - chill lofi - work music - concentration music - lofi music - lofi hip hop - lofi beats - study beats - focus beats - <a href=""https://www.dreambutdonotsleeprecords.com/submit-your-song-to-our-spotify-playlists"">submit your song</a>  ",0.0,lofi study music | focus sessions 🧠📚
0O4BV5PM8rnZ6U60NByVXW,100,a playlist of aesthetic lofi music for a great study session. Hope u like it.,0.8591,aesthetic music for studying 
0Oh5cKhBCJ8KjR4mDvBYCU,413,"Electronic, indie, jazz, lofi + vibey beats  &#x2F;&#x2F; to  keep you moving and in-flow. hit shuffle + get to work!  &#x2F;&#x2F; curated by @mixmason",0.0,"CAFFEINE FLOW // high energy focus music for studying, reading, coding, writing, working"
0OnntT006dGlNSinPElMdU,81,,0.0,EDM Study No Lyrics
0PGI9z4g1So2rEfi662TSb,23,turamaallen@gmail.com ,0.0,romaticizing studying playlist 📖📚
0PYONJz3ZFaWBQ2JS3BixK,100,LOFI STUDY PLAYLIST,0.0,LOFI STUDY PLAYLIST
0Q0IMzTu6nGy0MKafYNp2f,29,,0.0,STUDY FASTER 🎓🖋
0QknRAZUpwPtM2dQIzAnAa,412,"Best Classical Music for Relaxing Focus Working. <a href=""https://open.spotify.com/playlist/7oJS52tMqcz2ZVITSfWm0h""> Listen to calm Classical Piano songs </a> Bach, Tchaikovsky, Mozart, Beethoven and more! Enjoy ",0.9258,Classical Study Focus Music
0Qxd3hm3DTDeyTSMj0EblS,51,"Ease the late-night cram sessions with a few hours&#x27; worth of electro music to help you unwind and focus, with no lyrics to distract you. [falwriting.com]",0.4019,Study: Electronic Instrumental
0R4QGSD0t8sjwAeowOCCta,41,feels like reading a big book in the 1940&#x27;s victorian library after killing my husband,-0.4404,dark academia classical studying playlist
0RClNbul65Q9fN3n7dDsk2,124,"Chill beats for relaxing and studying | Lofi, Chillhop &amp; Jazzhop",0.4939,Smoke & Study
0RaPUTUXvVIw6U7RORrjIa,85,I just need to study; cover art by mau5mom!,0.0,Deadmau5 Study Mix
0TYeJ0tnvYWbzSM3U5mgKr,180,studying hard.,-0.1027,study time
0V5F4Kkd7ZroG1EQjuwOUt,899,,0.0,Phonk study
0VWkjb7PeCA77DclrgyTON,83,Chill Studio Ghibli songs and Lofi remixes to relax and study.,0.4404,Ghibli Study 2023
0Ver1JN2EzqOOsTP4ovQdA,187,existential crisis at 3 am,-0.6249,studying philosophy at 3 am
0WPKFSlHFmcaMturVczwZ8,180,who cares if i&#x27;m pretty if i fail my finals,0.4019,finals study motivation
0XkEWj2EpR7F0IfMUjzgY4,2974,"Listen to all of your favorites in pop and indie recreated into chill-worthy piano &amp; guitar arrangements for background focus music. Featuring acoustic renditions of The Lumineers, Coldplay, Lana Del Rey, Taylor Swift, Hozier, Adele &amp; much more.",0.5574,Instrumental Study Music
0Ykb6Obiww2mrIoiiw4PN7,95,,0.0,Study but hype
0Z1UCnds2iwZfApDgcsMrk,57,"Foxy fox having a blast of fresh tracks from worldwide artists. Different genres, different tempos. Mountain climbers, hikers and survival lovers will love this. Adding several tracks daily or few times a week. ",0.872,Studying Music
